Stat_ID,Rider_ID,Heart_Rate,Speed,Latitude,Longitude,Elevation,Cadence,Power,STAT_TS
32,5,85,,-34.957996,138.601062,0,,,2014-05-10T22:03:28Z
33,6,85,,-34.958004,138.601063,0,,,2014-05-10T22:03:29Z
34,7,85,,-34.958008,138.601071,0.400000006,,,2014-05-10T22:03:32Z
35,8,84,,-34.95801,138.601073,-0.400000006,,,2014-05-10T22:03:33Z
36,9,85,,-34.958017,138.601089,0,,,2014-05-10T22:03:34Z
37,1,86,,-34.958024,138.601099,0.400000006,,,2014-05-10T22:03:35Z
38,2,87,,-34.958024,138.60111,0.200000003,,,2014-05-10T22:03:36Z
39,3,87,,-34.958024,138.601123,0.200000003,,,2014-05-10T22:03:37Z
40,4,85,,-34.958021,138.601131,0.200000003,,,2014-05-10T22:03:38Z
41,5,83,,-34.958022,138.601122,0.200000003,,,2014-05-10T22:03:39Z
42,6,82,,-34.958024,138.60113,0.200000003,,,2014-05-10T22:03:40Z
43,7,80,,-34.958025,138.601128,0,,,2014-05-10T22:03:41Z
44,8,80,,-34.958026,138.601127,0,,,2014-05-10T22:03:42Z
45,9,80,,-34.958025,138.601127,0,,,2014-05-10T22:03:43Z
46,1,79,,-34.958025,138.601127,0,,,2014-05-10T22:03:44Z
47,2,80,,-34.958024,138.601137,0,,,2014-05-10T22:03:45Z
48,3,80,,-34.958022,138.601149,-0.200000003,,,2014-05-10T22:03:46Z
49,4,82,,-34.958021,138.601162,0,,,2014-05-10T22:03:47Z
50,5,82,,-34.958016,138.60118,0,,,2014-05-10T22:03:48Z
51,6,83,,-34.958014,138.601196,0,,,2014-05-10T22:03:49Z
52,7,85,,-34.958016,138.601212,-0.200000003,,,2014-05-10T22:03:50Z
53,8,85,,-34.958024,138.601245,-0.400000006,,,2014-05-10T22:03:51Z
54,1,85,,-34.958042,138.601276,-0.600000024,,,2014-05-10T22:03:52Z
55,2,87,,-34.958076,138.60129,-0.400000006,,,2014-05-10T22:03:53Z
56,3,90,,-34.95812,138.601302,-0.200000003,,,2014-05-10T22:03:54Z
57,4,91,,-34.958154,138.601313,-0.200000003,,,2014-05-10T22:03:55Z
58,5,93,,-34.958207,138.60132,0,,,2014-05-10T22:03:56Z
59,6,93,,-34.95825,138.601324,0.200000003,,,2014-05-10T22:03:57Z
60,7,95,,-34.958305,138.601333,0.400000006,,,2014-05-10T22:03:58Z
61,8,97,,-34.95835,138.601338,0.600000024,,,2014-05-10T22:03:59Z
62,9,99,,-34.9584,138.601343,0.600000024,,,2014-05-10T22:04:00Z
63,1,100,,-34.958451,138.601348,0.800000012,,,2014-05-10T22:04:01Z
64,2,100,,-34.958451,138.601348,0.800000012,,,2014-05-10T22:04:01Z
65,3,101,,-34.958504,138.601355,0.600000024,,,2014-05-10T22:04:02Z
66,4,103,,-34.958556,138.601359,0.600000024,,,2014-05-10T22:04:03Z
67,5,104,,-34.958607,138.601361,0.600000024,,,2014-05-10T22:04:04Z
68,6,105,,-34.958659,138.601364,0.600000024,,,2014-05-10T22:04:05Z
69,7,106,,-34.958711,138.601365,0.800000012,,,2014-05-10T22:04:06Z
70,8,108,,-34.958759,138.601362,1,,,2014-05-10T22:04:07Z
71,9,109,,-34.958806,138.601357,1.200000048,,,2014-05-10T22:04:08Z
72,1,110,,-34.958856,138.601358,1.200000048,,,2014-05-10T22:04:09Z
73,2,112,,-34.958907,138.60136,1,,,2014-05-10T22:04:10Z
74,3,113,,-34.958963,138.601355,1,,,2014-05-10T22:04:11Z
75,4,115,,-34.959009,138.601352,1.200000048,,,2014-05-10T22:04:12Z
76,5,116,,-34.959065,138.601344,1.200000048,,,2014-05-10T22:04:13Z
77,6,117,,-34.959111,138.601338,1.399999976,,,2014-05-10T22:04:14Z
78,7,118,,-34.959166,138.601334,1.399999976,,,2014-05-10T22:04:15Z
79,8,118,,-34.959213,138.60133,1.399999976,,,2014-05-10T22:04:16Z
80,9,119,,-34.959271,138.601326,1.399999976,,,2014-05-10T22:04:17Z
81,1,120,,-34.959318,138.601321,1.600000024,,,2014-05-10T22:04:18Z
82,2,120,,-34.959377,138.601315,1.600000024,,,2014-05-10T22:04:19Z
83,3,121,,-34.959427,138.601311,1.600000024,,,2014-05-10T22:04:20Z
84,4,121,,-34.959486,138.601309,1.600000024,,,2014-05-10T22:04:21Z
85,5,121,,-34.959536,138.601305,1.600000024,,,2014-05-10T22:04:22Z
86,6,121,,-34.959596,138.601306,1.600000024,,,2014-05-10T22:04:23Z
87,7,122,,-34.959646,138.601305,1.600000024,,,2014-05-10T22:04:24Z
88,8,122,,-34.959708,138.601302,1.799999952,,,2014-05-10T22:04:25Z
89,9,123,,-34.959758,138.601302,2,,,2014-05-10T22:04:26Z
90,1,123,,-34.959818,138.601304,1.799999952,,,2014-05-10T22:04:27Z
91,2,124,,-34.95987,138.601306,1.799999952,,,2014-05-10T22:04:28Z
92,3,125,,-34.959928,138.60131,2,,,2014-05-10T22:04:29Z
93,4,126,,-34.95998,138.601314,2,,,2014-05-10T22:04:30Z
94,5,126,,-34.960041,138.601319,2,,,2014-05-10T22:04:31Z
95,6,127,,-34.960092,138.601323,2,,,2014-05-10T22:04:32Z
96,7,127,,-34.960145,138.601328,2,,,2014-05-10T22:04:33Z
97,8,128,,-34.9602,138.601335,2,,,2014-05-10T22:04:34Z
98,9,128,,-34.960246,138.601343,1.799999952,,,2014-05-10T22:04:35Z
99,1,128,,-34.960306,138.601354,2,,,2014-05-10T22:04:36Z
100,2,128,,-34.960356,138.601364,2,,,2014-05-10T22:04:37Z
101,3,128,,-34.960412,138.601369,2.200000048,,,2014-05-10T22:04:38Z
102,4,101,,-34.958504,138.601355,0.600000024,,,2014-05-10T22:04:02Z
103,5,103,,-34.958556,138.601359,0.600000024,,,2014-05-10T22:04:03Z
104,6,104,,-34.958607,138.601361,0.600000024,,,2014-05-10T22:04:04Z
105,7,105,,-34.958659,138.601364,0.600000024,,,2014-05-10T22:04:05Z
106,8,106,,-34.958711,138.601365,0.800000012,,,2014-05-10T22:04:06Z
107,1,108,,-34.958759,138.601362,1,,,2014-05-10T22:04:07Z
108,2,109,,-34.958806,138.601357,1.200000048,,,2014-05-10T22:04:08Z
109,3,110,,-34.958856,138.601358,1.200000048,,,2014-05-10T22:04:09Z
110,4,112,,-34.958907,138.60136,1,,,2014-05-10T22:04:10Z
111,5,113,,-34.958963,138.601355,1,,,2014-05-10T22:04:11Z
112,6,115,,-34.959009,138.601352,1.200000048,,,2014-05-10T22:04:12Z
113,7,116,,-34.959065,138.601344,1.200000048,,,2014-05-10T22:04:13Z
114,8,117,,-34.959111,138.601338,1.399999976,,,2014-05-10T22:04:14Z
115,9,118,,-34.959166,138.601334,1.399999976,,,2014-05-10T22:04:15Z
116,1,118,,-34.959213,138.60133,1.399999976,,,2014-05-10T22:04:16Z
117,2,119,,-34.959271,138.601326,1.399999976,,,2014-05-10T22:04:17Z
118,3,120,,-34.959318,138.601321,1.600000024,,,2014-05-10T22:04:18Z
119,4,120,,-34.959377,138.601315,1.600000024,,,2014-05-10T22:04:19Z
120,5,121,,-34.959427,138.601311,1.600000024,,,2014-05-10T22:04:20Z
121,6,121,,-34.959486,138.601309,1.600000024,,,2014-05-10T22:04:21Z
122,7,121,,-34.959536,138.601305,1.600000024,,,2014-05-10T22:04:22Z
123,8,121,,-34.959596,138.601306,1.600000024,,,2014-05-10T22:04:23Z
124,9,122,,-34.959646,138.601305,1.600000024,,,2014-05-10T22:04:24Z
125,1,122,,-34.959708,138.601302,1.799999952,,,2014-05-10T22:04:25Z
126,2,123,,-34.959758,138.601302,2,,,2014-05-10T22:04:26Z
127,3,123,,-34.959818,138.601304,1.799999952,,,2014-05-10T22:04:27Z
128,4,128,,-34.960461,138.60138,2.400000095,,,2014-05-10T22:04:39Z
129,5,128,,-34.960499,138.601419,2.200000048,,,2014-05-10T22:04:40Z
130,6,128,,-34.960529,138.601469,2,,,2014-05-10T22:04:41Z
131,7,128,,-34.96052,138.601537,2,,,2014-05-10T22:04:42Z
132,8,128,,-34.960519,138.601596,2.200000048,,,2014-05-10T22:04:43Z
133,9,128,,-34.96051,138.601671,2.599999905,,,2014-05-10T22:04:44Z
134,1,128,,-34.960506,138.601734,2.599999905,,,2014-05-10T22:04:45Z
135,2,128,,-34.960505,138.601812,2.799999952,,,2014-05-10T22:04:46Z
136,3,128,,-34.960503,138.601879,2.799999952,,,2014-05-10T22:04:47Z
137,4,128,,-34.960496,138.601959,2.799999952,,,2014-05-10T22:04:48Z
138,5,128,,-34.960494,138.602026,2.599999905,,,2014-05-10T22:04:49Z
139,6,128,,-34.960517,138.602096,2.799999952,,,2014-05-10T22:04:50Z
140,7,129,,-34.960558,138.60214,2.799999952,,,2014-05-10T22:04:51Z
141,8,129,,-34.960602,138.602172,3,,,2014-05-10T22:04:52Z
142,9,129,,-34.960664,138.602175,3,,,2014-05-10T22:04:53Z
143,1,131,,-34.960947,138.602204,2.799999952,,,2014-05-10T22:04:57Z
144,2,132,,-34.961048,138.602206,3.400000095,,,2014-05-10T22:04:59Z
145,3,132,,-34.961106,138.602208,3.799999952,,,2014-05-10T22:05:00Z
146,4,132,,-34.961164,138.60221,3.400000095,,,2014-05-10T22:05:01Z
147,5,132,,-34.961221,138.60221,3.400000095,,,2014-05-10T22:05:02Z
148,6,133,,-34.961276,138.602215,3.400000095,,,2014-05-10T22:05:03Z
149,7,133,,-34.961334,138.602216,3.400000095,,,2014-05-10T22:05:04Z
150,8,133,,-34.961392,138.602221,3.400000095,,,2014-05-10T22:05:05Z
151,9,132,,-34.961451,138.602225,3.599999905,,,2014-05-10T22:05:06Z
152,1,133,,-34.961509,138.60223,3.599999905,,,2014-05-10T22:05:07Z
153,2,132,,-34.961566,138.602235,3.799999952,,,2014-05-10T22:05:08Z
154,3,133,,-34.961625,138.60224,3.799999952,,,2014-05-10T22:05:09Z
155,4,132,,-34.961683,138.602243,3.799999952,,,2014-05-10T22:05:10Z
156,5,133,,-34.96174,138.602249,4,,,2014-05-10T22:05:11Z
157,6,132,,-34.9618,138.602254,4,,,2014-05-10T22:05:12Z
158,7,133,,-34.961858,138.60226,4.400000095,,,2014-05-10T22:05:13Z
159,8,133,,-34.961915,138.602261,4.400000095,,,2014-05-10T22:05:14Z
160,1,133,,-34.961975,138.602266,4.599999905,,,2014-05-10T22:05:15Z
161,2,133,,-34.962033,138.602268,4.400000095,,,2014-05-10T22:05:16Z
162,3,134,,-34.96209,138.60227,4.199999809,,,2014-05-10T22:05:17Z
163,4,134,,-34.962145,138.602275,4.199999809,,,2014-05-10T22:05:18Z
164,5,135,,-34.9622,138.602278,4.199999809,,,2014-05-10T22:05:19Z
165,6,135,,-34.962255,138.602283,4.599999905,,,2014-05-10T22:05:20Z
166,7,135,,-34.962305,138.602287,4.599999905,,,2014-05-10T22:05:21Z
167,8,136,,-34.962361,138.602289,4.599999905,,,2014-05-10T22:05:22Z
168,9,136,,-34.962418,138.602292,4.599999905,,,2014-05-10T22:05:23Z
169,1,136,,-34.962474,138.602294,5,,,2014-05-10T22:05:24Z
170,2,124,,-34.95987,138.601306,1.799999952,,,2014-05-10T22:04:28Z
171,3,125,,-34.959928,138.60131,2,,,2014-05-10T22:04:29Z
172,4,126,,-34.95998,138.601314,2,,,2014-05-10T22:04:30Z
173,5,126,,-34.960041,138.601319,2,,,2014-05-10T22:04:31Z
174,6,127,,-34.960092,138.601323,2,,,2014-05-10T22:04:32Z
175,7,127,,-34.960145,138.601328,2,,,2014-05-10T22:04:33Z
176,8,128,,-34.9602,138.601335,2,,,2014-05-10T22:04:34Z
177,9,128,,-34.960246,138.601343,1.799999952,,,2014-05-10T22:04:35Z
178,1,128,,-34.960306,138.601354,2,,,2014-05-10T22:04:36Z
179,2,128,,-34.960356,138.601364,2,,,2014-05-10T22:04:37Z
180,3,128,,-34.960412,138.601369,2.200000048,,,2014-05-10T22:04:38Z
181,4,128,,-34.960461,138.60138,2.400000095,,,2014-05-10T22:04:39Z
182,5,128,,-34.960499,138.601419,2.200000048,,,2014-05-10T22:04:40Z
183,6,128,,-34.960529,138.601469,2,,,2014-05-10T22:04:41Z
184,7,128,,-34.96052,138.601537,2,,,2014-05-10T22:04:42Z
185,8,128,,-34.960519,138.601596,2.200000048,,,2014-05-10T22:04:43Z
186,9,128,,-34.96051,138.601671,2.599999905,,,2014-05-10T22:04:44Z
187,1,128,,-34.960506,138.601734,2.599999905,,,2014-05-10T22:04:45Z
188,2,128,,-34.960505,138.601812,2.799999952,,,2014-05-10T22:04:46Z
189,3,128,,-34.960503,138.601879,2.799999952,,,2014-05-10T22:04:47Z
190,4,128,,-34.960496,138.601959,2.799999952,,,2014-05-10T22:04:48Z
191,5,128,,-34.960494,138.602026,2.599999905,,,2014-05-10T22:04:49Z
192,6,128,,-34.960517,138.602096,2.799999952,,,2014-05-10T22:04:50Z
193,7,129,,-34.960558,138.60214,2.799999952,,,2014-05-10T22:04:51Z
194,8,129,,-34.960602,138.602172,3,,,2014-05-10T22:04:52Z
195,9,129,,-34.960664,138.602175,3,,,2014-05-10T22:04:53Z
196,1,131,,-34.960947,138.602204,2.799999952,,,2014-05-10T22:04:57Z
197,2,132,,-34.961048,138.602206,3.400000095,,,2014-05-10T22:04:59Z
198,3,132,,-34.961106,138.602208,3.799999952,,,2014-05-10T22:05:00Z
199,4,132,,-34.961164,138.60221,3.400000095,,,2014-05-10T22:05:01Z
200,5,132,,-34.961221,138.60221,3.400000095,,,2014-05-10T22:05:02Z
201,6,133,,-34.961276,138.602215,3.400000095,,,2014-05-10T22:05:03Z
202,7,133,,-34.961334,138.602216,3.400000095,,,2014-05-10T22:05:04Z
203,8,133,,-34.961392,138.602221,3.400000095,,,2014-05-10T22:05:05Z
204,9,132,,-34.961451,138.602225,3.599999905,,,2014-05-10T22:05:06Z
205,1,133,,-34.961509,138.60223,3.599999905,,,2014-05-10T22:05:07Z
206,2,132,,-34.961566,138.602235,3.799999952,,,2014-05-10T22:05:08Z
207,3,133,,-34.961625,138.60224,3.799999952,,,2014-05-10T22:05:09Z
208,4,132,,-34.961683,138.602243,3.799999952,,,2014-05-10T22:05:10Z
209,5,133,,-34.96174,138.602249,4,,,2014-05-10T22:05:11Z
210,6,132,,-34.9618,138.602254,4,,,2014-05-10T22:05:12Z
211,7,137,,-34.962529,138.602296,5,,,2014-05-10T22:05:25Z
212,8,137,,-34.962586,138.6023,5,,,2014-05-10T22:05:26Z
213,9,137,,-34.962642,138.602304,5.199999809,,,2014-05-10T22:05:27Z
214,1,137,,-34.9627,138.602307,5.400000095,,,2014-05-10T22:05:28Z
215,2,137,,-34.962759,138.602308,5.599999905,,,2014-05-10T22:05:29Z
216,3,137,,-34.962817,138.602313,5.599999905,,,2014-05-10T22:05:30Z
217,4,137,,-34.962873,138.602316,5.599999905,,,2014-05-10T22:05:31Z
218,5,138,,-34.962931,138.602319,5.400000095,,,2014-05-10T22:05:32Z
219,6,138,,-34.962988,138.602321,5.800000191,,,2014-05-10T22:05:33Z
220,7,138,,-34.963045,138.602323,6,,,2014-05-10T22:05:34Z
221,8,138,,-34.963103,138.602326,5.800000191,,,2014-05-10T22:05:35Z
222,9,138,,-34.96316,138.602329,5.800000191,,,2014-05-10T22:05:36Z
223,1,138,,-34.963215,138.602335,6,,,2014-05-10T22:05:37Z
224,2,138,,-34.963273,138.60234,6.199999809,,,2014-05-10T22:05:38Z
225,3,139,,-34.96333,138.602343,6.400000095,,,2014-05-10T22:05:39Z
226,4,139,,-34.96339,138.602346,6.400000095,,,2014-05-10T22:05:40Z
227,5,139,,-34.963448,138.602351,6.400000095,,,2014-05-10T22:05:41Z
228,6,140,,-34.963504,138.602354,6.199999809,,,2014-05-10T22:05:42Z
229,7,140,,-34.963563,138.602358,6.199999809,,,2014-05-10T22:05:43Z
230,8,140,,-34.963617,138.60236,6.199999809,,,2014-05-10T22:05:44Z
231,9,140,,-34.963673,138.602368,6.199999809,,,2014-05-10T22:05:45Z
232,1,140,,-34.963729,138.602372,6.599999905,,,2014-05-10T22:05:46Z
233,2,141,,-34.963785,138.602377,6.599999905,,,2014-05-10T22:05:47Z
234,3,140,,-34.963841,138.602381,6.800000191,,,2014-05-10T22:05:48Z
235,4,141,,-34.963897,138.602385,7,,,2014-05-10T22:05:49Z
236,5,140,,-34.963954,138.60239,7,,,2014-05-10T22:05:50Z
237,6,140,,-34.964012,138.602395,6.800000191,,,2014-05-10T22:05:51Z
238,7,140,,-34.964071,138.602396,6.800000191,,,2014-05-10T22:05:52Z
239,8,140,,-34.964128,138.602397,7,,,2014-05-10T22:05:53Z
240,9,140,,-34.964187,138.6024,7,,,2014-05-10T22:05:54Z
241,1,140,,-34.964246,138.602405,7.199999809,,,2014-05-10T22:05:55Z
242,2,141,,-34.964302,138.602407,7.199999809,,,2014-05-10T22:05:56Z
243,3,141,,-34.964359,138.602412,7.400000095,,,2014-05-10T22:05:57Z
244,4,140,,-34.964417,138.602414,7.400000095,,,2014-05-10T22:05:58Z
245,5,140,,-34.964477,138.602418,7.599999905,,,2014-05-10T22:05:59Z
246,6,140,,-34.964536,138.602421,7.599999905,,,2014-05-10T22:06:00Z
247,7,139,,-34.964594,138.602426,7.599999905,,,2014-05-10T22:06:01Z
248,8,139,,-34.964655,138.602424,7.800000191,,,2014-05-10T22:06:02Z
249,9,139,,-34.964714,138.602426,7.800000191,,,2014-05-10T22:06:03Z
250,1,139,,-34.964771,138.602427,7.800000191,,,2014-05-10T22:06:04Z
251,2,139,,-34.96483,138.60242,7.800000191,,,2014-05-10T22:06:05Z
252,3,133,,-34.961858,138.60226,4.400000095,,,2014-05-10T22:05:13Z
253,4,133,,-34.961915,138.602261,4.400000095,,,2014-05-10T22:05:14Z
254,5,133,,-34.961975,138.602266,4.599999905,,,2014-05-10T22:05:15Z
255,6,133,,-34.962033,138.602268,4.400000095,,,2014-05-10T22:05:16Z
256,7,134,,-34.96209,138.60227,4.199999809,,,2014-05-10T22:05:17Z
257,8,134,,-34.962145,138.602275,4.199999809,,,2014-05-10T22:05:18Z
258,1,135,,-34.9622,138.602278,4.199999809,,,2014-05-10T22:05:19Z
259,2,135,,-34.962255,138.602283,4.599999905,,,2014-05-10T22:05:20Z
260,3,135,,-34.962305,138.602287,4.599999905,,,2014-05-10T22:05:21Z
261,4,136,,-34.962361,138.602289,4.599999905,,,2014-05-10T22:05:22Z
262,5,136,,-34.962418,138.602292,4.599999905,,,2014-05-10T22:05:23Z
263,6,136,,-34.962474,138.602294,5,,,2014-05-10T22:05:24Z
264,7,137,,-34.962529,138.602296,5,,,2014-05-10T22:05:25Z
265,8,137,,-34.962586,138.6023,5,,,2014-05-10T22:05:26Z
266,9,137,,-34.962642,138.602304,5.199999809,,,2014-05-10T22:05:27Z
267,1,137,,-34.9627,138.602307,5.400000095,,,2014-05-10T22:05:28Z
268,2,137,,-34.962759,138.602308,5.599999905,,,2014-05-10T22:05:29Z
269,3,137,,-34.962817,138.602313,5.599999905,,,2014-05-10T22:05:30Z
270,4,137,,-34.962873,138.602316,5.599999905,,,2014-05-10T22:05:31Z
271,5,138,,-34.962931,138.602319,5.400000095,,,2014-05-10T22:05:32Z
272,6,138,,-34.962988,138.602321,5.800000191,,,2014-05-10T22:05:33Z
273,7,138,,-34.963045,138.602323,6,,,2014-05-10T22:05:34Z
274,8,138,,-34.963103,138.602326,5.800000191,,,2014-05-10T22:05:35Z
275,9,138,,-34.96316,138.602329,5.800000191,,,2014-05-10T22:05:36Z
276,1,138,,-34.963215,138.602335,6,,,2014-05-10T22:05:37Z
277,2,138,,-34.963273,138.60234,6.199999809,,,2014-05-10T22:05:38Z
278,3,139,,-34.96333,138.602343,6.400000095,,,2014-05-10T22:05:39Z
279,4,139,,-34.96339,138.602346,6.400000095,,,2014-05-10T22:05:40Z
280,5,139,,-34.963448,138.602351,6.400000095,,,2014-05-10T22:05:41Z
281,6,140,,-34.963504,138.602354,6.199999809,,,2014-05-10T22:05:42Z
282,7,140,,-34.963563,138.602358,6.199999809,,,2014-05-10T22:05:43Z
283,8,140,,-34.963617,138.60236,6.199999809,,,2014-05-10T22:05:44Z
284,9,140,,-34.963673,138.602368,6.199999809,,,2014-05-10T22:05:45Z
285,1,140,,-34.963729,138.602372,6.599999905,,,2014-05-10T22:05:46Z
286,2,141,,-34.963785,138.602377,6.599999905,,,2014-05-10T22:05:47Z
287,3,140,,-34.963841,138.602381,6.800000191,,,2014-05-10T22:05:48Z
288,4,141,,-34.963897,138.602385,7,,,2014-05-10T22:05:49Z
289,5,140,,-34.963954,138.60239,7,,,2014-05-10T22:05:50Z
290,6,140,,-34.964012,138.602395,6.800000191,,,2014-05-10T22:05:51Z
291,7,140,,-34.964071,138.602396,6.800000191,,,2014-05-10T22:05:52Z
292,8,140,,-34.964128,138.602397,7,,,2014-05-10T22:05:53Z
293,9,140,,-34.964187,138.6024,7,,,2014-05-10T22:05:54Z
294,1,140,,-34.964246,138.602405,7.199999809,,,2014-05-10T22:05:55Z
295,2,139,,-34.964886,138.602423,7.800000191,,,2014-05-10T22:06:06Z
296,3,139,,-34.964944,138.602439,8,,,2014-05-10T22:06:07Z
297,4,138,,-34.965003,138.602448,8,,,2014-05-10T22:06:08Z
298,5,139,,-34.96506,138.602452,8,,,2014-05-10T22:06:09Z
299,6,139,,-34.96512,138.602455,8.199999809,,,2014-05-10T22:06:10Z
300,7,138,,-34.96518,138.602459,8.199999809,,,2014-05-10T22:06:11Z
301,8,138,,-34.965237,138.602465,8.199999809,,,2014-05-10T22:06:12Z
302,9,139,,-34.965295,138.602471,8.199999809,,,2014-05-10T22:06:13Z
303,1,138,,-34.965352,138.602475,8.399999619,,,2014-05-10T22:06:14Z
304,2,139,,-34.965408,138.602475,8.399999619,,,2014-05-10T22:06:15Z
305,3,138,,-34.965465,138.602474,8.399999619,,,2014-05-10T22:06:16Z
306,4,138,,-34.965521,138.602478,8.600000381,,,2014-05-10T22:06:17Z
307,5,138,,-34.965576,138.602479,8.600000381,,,2014-05-10T22:06:18Z
308,6,138,,-34.965625,138.602475,8.600000381,,,2014-05-10T22:06:19Z
309,7,137,,-34.965673,138.602499,8.800000191,,,2014-05-10T22:06:20Z
310,8,137,,-34.965708,138.602548,8.800000191,,,2014-05-10T22:06:21Z
311,1,141,,-34.964302,138.602407,7.199999809,,,2014-05-10T22:05:56Z
312,2,141,,-34.964359,138.602412,7.400000095,,,2014-05-10T22:05:57Z
313,3,140,,-34.964417,138.602414,7.400000095,,,2014-05-10T22:05:58Z
314,4,140,,-34.964477,138.602418,7.599999905,,,2014-05-10T22:05:59Z
315,5,140,,-34.964536,138.602421,7.599999905,,,2014-05-10T22:06:00Z
316,6,139,,-34.964594,138.602426,7.599999905,,,2014-05-10T22:06:01Z
317,7,139,,-34.964655,138.602424,7.800000191,,,2014-05-10T22:06:02Z
318,8,139,,-34.964714,138.602426,7.800000191,,,2014-05-10T22:06:03Z
319,9,139,,-34.964771,138.602427,7.800000191,,,2014-05-10T22:06:04Z
320,1,139,,-34.96483,138.60242,7.800000191,,,2014-05-10T22:06:05Z
321,2,139,,-34.964886,138.602423,7.800000191,,,2014-05-10T22:06:06Z
322,3,139,,-34.964944,138.602439,8,,,2014-05-10T22:06:07Z
323,4,138,,-34.965003,138.602448,8,,,2014-05-10T22:06:08Z
324,5,139,,-34.96506,138.602452,8,,,2014-05-10T22:06:09Z
325,6,139,,-34.96512,138.602455,8.199999809,,,2014-05-10T22:06:10Z
326,7,138,,-34.96518,138.602459,8.199999809,,,2014-05-10T22:06:11Z
327,8,138,,-34.965237,138.602465,8.199999809,,,2014-05-10T22:06:12Z
328,9,139,,-34.965295,138.602471,8.199999809,,,2014-05-10T22:06:13Z
329,1,138,,-34.965352,138.602475,8.399999619,,,2014-05-10T22:06:14Z
330,2,139,,-34.965408,138.602475,8.399999619,,,2014-05-10T22:06:15Z
331,3,138,,-34.965465,138.602474,8.399999619,,,2014-05-10T22:06:16Z
332,4,138,,-34.965521,138.602478,8.600000381,,,2014-05-10T22:06:17Z
333,5,138,,-34.965576,138.602479,8.600000381,,,2014-05-10T22:06:18Z
334,6,138,,-34.965625,138.602475,8.600000381,,,2014-05-10T22:06:19Z
335,7,137,,-34.965673,138.602499,8.800000191,,,2014-05-10T22:06:20Z
336,8,137,,-34.965708,138.602548,8.800000191,,,2014-05-10T22:06:21Z
337,9,137,,-34.965724,138.602612,8.800000191,,,2014-05-10T22:06:22Z
